genome	S_alg	k	d	M_alg	kmer_count	l	o	z	r	S_xz_bytes	M_xz_bytes	enc1_xz_bytes	enc2_xz_bytes	pref
yeast	pseudosimplitigsAC	18	8	runs	11456651	11612721	11488836	123885	15346	3003948	42564	3046512	3039564	yeast.S_pseudosimplitigsAC.k_18.d_8.M_runs
yeast	pseudosimplitigsAC	18	8	zeros	11456651	11612721	11456651	156070	28535	3003948	74376	3078324	3061520	yeast.S_pseudosimplitigsAC.k_18.d_8.M_zeros
yeast	pseudosimplitigsAC	18	9	default	11456651	11637338	11456651	180687	32155	3009460	79232	3088692	3074392	yeast.S_pseudosimplitigsAC.k_18.d_9.M_default
yeast	pseudosimplitigsAC	18	9	ones	11456651	11637338	11491549	145789	19565	3009460	48484	3057944	3053112	yeast.S_pseudosimplitigsAC.k_18.d_9.M_ones
yeast	pseudosimplitigsAC	18	9	runs	11456651	11637338	11490558	146780	18919	3009460	47860	3057320	3053832	yeast.S_pseudosimplitigsAC.k_18.d_9.M_runs
yeast	pseudosimplitigsAC	18	9	zeros	11456651	11637338	11456651	180687	32363	3009460	80156	3089616	3074428	yeast.S_pseudosimplitigsAC.k_18.d_9.M_zeros
yeast	pseudosimplitigs	19	1	default	11479729	11692201	11479729	212472	11804	3015276	29652	3044928	3052456	yeast.S_pseudosimplitigs.k_19.d_1.M_default
yeast	pseudosimplitigs	19	1	ones	11479729	11692201	11496350	195851	13374	3015276	35768	3051044	3056004	yeast.S_pseudosimplitigs.k_19.d_1.M_ones
yeast	pseudosimplitigs	19	1	runs	11479729	11692201	11492960	199241	11699	3015276	33208	3048484	3051484	yeast.S_pseudosimplitigs.k_19.d_1.M_runs
yeast	pseudosimplitigs	19	1	zeros	11479729	11692201	11479729	212472	12954	3015276	33180	3048456	3053624	yeast.S_pseudosimplitigs.k_19.d_1.M_zeros
yeast	pseudosimplitigs	19	10	default	11479729	11637841	11479729	158112	22289	3006860	56000	3062860	3057396	yeast.S_pseudosimplitigs.k_19.d_10.M_default
yeast	pseudosimplitigs	19	10	ones	11479729	11637841	11505672	132169	15225	3006860	39304	3046164	3042476	yeast.S_pseudosimplitigs.k_19.d_10.M_ones
yeast	pseudosimplitigs	19	10	runs	11479729	11637841	11505067	132774	14842	3006860	38880	3045740	3042556	yeast.S_pseudosimplitigs.k_19.d_10.M_runs
yeast	pseudosimplitigs	19	10	zeros	11479729	11637841	11479729	158112	22481	3006860	56624	3063484	3059040	yeast.S_pseudosimplitigs.k_19.d_10.M_zeros
yeast	pseudosimplitigs	19	11	default	11479729	11664256	11479729	184527	25627	3014728	59384	3074112	3069604	yeast.S_pseudosimplitigs.k_19.d_11.M_default
yeast	pseudosimplitigs	19	11	ones	11479729	11664256	11507120	157136	18524	3014728	42548	3057276	3055664	yeast.S_pseudosimplitigs.k_19.d_11.M_ones
yeast	pseudosimplitigs	19	11	runs	11479729	11664256	11506348	157908	18062	3014728	42080	3056808	3054504	yeast.S_pseudosimplitigs.k_19.d_11.M_runs
yeast	pseudosimplitigs	19	11	zeros	11479729	11664256	11479729	184527	25723	3014728	59668	3074396	3068972	yeast.S_pseudosimplitigs.k_19.d_11.M_zeros
yeast	pseudosimplitigs	19	12	default	11479729	11680948	11479729	201219	27865	3017668	60952	3078620	3076076	yeast.S_pseudosimplitigs.k_19.d_12.M_default
yeast	pseudosimplitigs	19	12	ones	11479729	11680948	11507858	173090	20790	3017668	44204	3061872	3062308	yeast.S_pseudosimplitigs.k_19.d_12.M_ones
yeast	pseudosimplitigs	19	12	runs	11479729	11680948	11506937	174011	20206	3017668	43748	3061416	3061888	yeast.S_pseudosimplitigs.k_19.d_12.M_runs
yeast	pseudosimplitigs	19	12	zeros	11479729	11680948	11479729	201219	27965	3017668	61324	3078992	3075612	yeast.S_pseudosimplitigs.k_19.d_12.M_zeros
